timestep_time;edge_id;lane_id;vehicle_id;vehicle_pos;vehicle_speed
0.00;;;;;
1.00;;;;;
2.00;;;;;
3.00;;;;;
4.00;;;;;
5.00;;;;;
6.00;;;;;
7.00;;;;;
8.00;;;;;
9.00;;;;;
10.00;;;;;
11.00;;;;;
12.00;;;;;
13.00;;;;;
14.00;;;;;
15.00;;;;;
16.00;;;;;
17.00;in;in_0;veh1;3.10;11.00
18.00;in;in_0;veh1;14.10;11.00
19.00;in;in_0;veh1;25.10;11.00
20.00;in;in_0;veh1;36.10;11.00
21.00;in;in_0;veh1;47.10;11.00
22.00;in;in_0;veh1;58.10;11.00
23.00;in;in_0;veh1;69.10;11.00
24.00;in;in_0;veh1;80.10;11.00
25.00;in;in_0;veh1;91.10;11.00
26.00;in;in_0;veh1;102.10;11.00
27.00;in;in_0;veh1;113.10;11.00
28.00;in;in_0;veh1;124.10;11.00
29.00;in;in_0;veh1;135.10;11.00
30.00;in;in_0;veh1;146.10;11.00
31.00;in;in_0;veh1;157.10;11.00
32.00;in;in_0;veh1;168.10;11.00
33.00;in;in_0;veh1;179.10;11.00
34.00;in;in_0;veh1;190.10;11.00
35.00;in;in_0;veh1;201.10;11.00
36.00;in;in_0;veh1;212.10;11.00
37.00;in;in_0;veh2;3.10;13.00
37.00;in;in_0;veh1;223.10;11.00
38.00;in;in_0;veh2;16.10;13.00
38.00;in;in_0;veh1;234.10;11.00
39.00;in;in_0;veh2;29.10;13.00
39.00;in;in_0;veh1;245.10;11.00
40.00;in;in_0;veh2;42.10;13.00
40.00;in;in_0;veh1;256.10;11.00
41.00;in;in_0;veh2;55.10;13.00
41.00;in;in_0;veh1;267.10;11.00
42.00;in;in_0;veh2;68.10;13.00
42.00;in;in_0;veh1;278.10;11.00
43.00;in;in_0;veh2;81.10;13.00
43.00;in;in_0;veh1;289.10;11.00
44.00;in;in_0;veh2;94.10;13.00
44.00;in;in_0;veh1;300.10;11.00
45.00;in;in_0;veh2;107.10;13.00
45.00;in;in_0;veh1;311.10;11.00
46.00;in;in_0;veh2;120.10;13.00
46.00;in;in_0;veh1;322.10;11.00
47.00;in;in_0;veh2;133.10;13.00
47.00;in;in_0;veh1;333.10;11.00
48.00;in;in_0;veh2;146.10;13.00
48.00;in;in_0;veh1;344.10;11.00
49.00;in;in_0;veh2;159.10;13.00
49.00;in;in_0;veh1;355.10;11.00
50.00;in;in_0;veh2;172.10;13.00
50.00;in;in_0;veh1;366.10;11.00
51.00;in;in_0;veh2;185.10;13.00
51.00;in;in_0;veh1;377.10;11.00
52.00;in;in_0;veh2;198.10;13.00
52.00;in;in_0;veh1;388.10;11.00
53.00;in;in_0;veh2;211.10;13.00
53.00;in;in_0;veh1;399.11;11.00
54.00;in;in_0;veh2;224.10;13.00
54.00;in;in_0;veh1;410.11;11.00
55.00;in;in_0;veh2;237.10;13.00
55.00;in;in_0;veh1;421.11;11.00
56.00;in;in_0;veh3;3.10;9.00
56.00;in;in_0;veh2;250.10;13.00
56.00;in;in_0;veh1;432.11;11.00
57.00;in;in_0;veh3;12.10;9.00
57.00;in;in_0;veh2;263.10;13.00
57.00;in;in_0;veh1;443.11;11.00
58.00;in;in_0;veh3;21.10;9.00
58.00;in;in_0;veh2;276.10;13.00
58.00;in;in_0;veh1;454.11;11.00
59.00;in;in_0;veh3;30.10;9.00
59.00;in;in_0;veh2;289.10;13.00
59.00;in;in_0;veh1;465.11;11.00
60.00;in;in_0;veh3;39.10;9.00
60.00;in;in_0;veh2;302.10;13.00
60.00;in;in_0;veh1;476.11;11.00
61.00;in;in_0;veh3;48.10;9.00
61.00;in;in_0;veh2;315.10;13.00
61.00;in;in_0;veh1;487.11;11.00
62.00;in;in_0;veh3;57.10;9.00
62.00;in;in_0;veh2;328.10;13.00
62.00;in;in_0;veh1;498.11;11.00
63.00;in;in_0;veh3;66.10;9.00
63.00;in;in_0;veh2;341.10;13.00
63.00;in;in_0;veh1;509.11;11.00
64.00;in;in_0;veh3;75.10;9.00
64.00;in;in_0;veh2;354.10;13.00
64.00;in;in_0;veh1;520.11;11.00
65.00;in;in_0;veh3;84.10;9.00
65.00;in;in_0;veh2;367.10;13.00
65.00;in;in_0;veh1;531.11;11.00
66.00;in;in_0;veh3;93.10;9.00
66.00;in;in_0;veh2;380.10;13.00
66.00;in;in_0;veh1;542.11;11.00
67.00;in;in_0;veh3;102.10;9.00
67.00;in;in_0;veh2;393.10;13.00
67.00;in;in_0;veh1;553.11;11.00
68.00;in;in_0;veh3;111.10;9.00
68.00;in;in_0;veh2;406.10;13.00
68.00;in;in_0;veh1;564.11;11.00
69.00;in;in_0;veh3;120.10;9.00
69.00;in;in_0;veh2;419.10;13.00
69.00;in;in_0;veh1;575.11;11.00
70.00;in;in_0;veh3;129.10;9.00
70.00;in;in_0;veh2;432.10;13.00
70.00;in;in_0;veh1;586.11;11.00
71.00;in;in_0;veh3;138.10;9.00
71.00;in;in_0;veh2;445.10;13.00
71.00;in;in_0;veh1;597.11;11.00
72.00;in;in_0;veh3;147.10;9.00
72.00;in;in_0;veh2;458.10;13.00
72.00;in;in_0;veh1;608.11;11.00
73.00;in;in_0;veh3;156.10;9.00
73.00;in;in_0;veh2;471.10;13.00
73.00;in;in_0;veh1;619.11;11.00
74.00;in;in_0;veh3;165.10;9.00
74.00;in;in_0;veh2;484.10;13.00
74.00;in;in_0;veh1;630.11;11.00
75.00;in;in_0;veh4;3.10;10.00
75.00;in;in_0;veh3;174.10;9.00
75.00;in;in_0;veh2;497.11;13.00
75.00;in;in_0;veh1;641.11;11.00
76.00;in;in_0;veh4;13.10;10.00
76.00;in;in_0;veh3;183.10;9.00
76.00;in;in_0;veh2;510.11;13.00
76.00;in;in_0;veh1;652.11;11.00
77.00;in;in_0;veh4;23.10;10.00
77.00;in;in_0;veh3;192.10;9.00
77.00;in;in_0;veh2;523.11;13.00
77.00;in;in_0;veh1;663.11;11.00
78.00;in;in_0;veh4;33.10;10.00
78.00;in;in_0;veh3;201.10;9.00
78.00;in;in_0;veh2;536.11;13.00
78.00;in;in_0;veh1;674.11;11.00
79.00;in;in_0;veh4;43.10;10.00
79.00;in;in_0;veh3;210.10;9.00
79.00;in;in_0;veh2;549.11;13.00
79.00;in;in_0;veh1;685.11;11.00
80.00;in;in_0;veh4;53.10;10.00
80.00;in;in_0;veh3;219.10;9.00
80.00;in;in_0;veh2;562.11;13.00
80.00;in;in_0;veh1;696.12;11.00
81.00;in;in_0;veh4;63.10;10.00
81.00;in;in_0;veh3;228.10;9.00
81.00;in;in_0;veh2;575.11;13.00
81.00;in;in_0;veh1;707.12;11.00
82.00;in;in_0;veh4;73.10;10.00
82.00;in;in_0;veh3;237.10;9.00
82.00;in;in_0;veh2;588.11;13.00
82.00;in;in_0;veh1;718.12;11.00
